BS,Station,FS,F/S,HCR,Distance,control
ENG 7,,,LL,276.8055556,,1000//1000
,ENG 1,P1,LL,179.4616667,30.436,
,,P1,RR,359.4619444,,
ENG 7,,,RR,96.80611111,,
ENG 1,,,LL,334.8452778,,2000//2000
,P1,P2,LL,149.4425,26.713,
,,P2,RR,329.4430556,,
ENG 1,,,RR,154.8477778,,
P1,,,LL,300.2319444,,
,P2,P3,LL,51.26194444,16.78,
,,P3,RR,231.2625,,
P1,,,RR,120.2322222,,
P2,,,LL,292.6263889,,
,P3,P4,LL,122.6530556,27.54,
,,P4,RR,302.6533333,,
P2,,,RR,112.6269444,,
P3,,,LL,352.0905556,,
,P4,ENG7,LL,239.955,49.106,
,,ENG 7,RR,59.95472222,,
P3,,,RR,172.0908333,,
P4,,,LL,258.5697222,,
,ENG 7,ENG 1,LL,177.5152778,,
,,ENG 1,RR,357.515,,
P4,,,RR,78.57027778,,
